timestamp,log_level,service_name,message,user_id,session_id,client_ip_address
2023-10-16 01:16:09,ERROR,FileService,File Operation for user 47522.,12434,07688a40-7a0a-42c5-b732-67812a94b87a,181.199.245.40
2023-07-27 22:06:59,WARN,PrivilegeService,Accessed Sensitive Data for user 25697.,52266,410364d6-6af8-4e66-a9e8-119774cb6d88,43.135.239.188
2023-09-01 17:25:48,ERROR,AuthenticationService,User Logout for user 49966.,95770,5104eefd-effb-4a2a-8ba5-6e5631d547ff,32.117.149.253
2023-06-29 06:04:55,WARN,NetworkService,User Logout for user 51662.,55985,e1fbc36d-5a42-49a1-a100-ae218c5212d9,202.68.250.236
2023-11-30 23:32:04,WARN,AuthenticationService,Network Connection for user 66849.,45971,7e56d52e-ec06-40cc-aa48-c4e4348f21de,18.192.22.97
2023-02-19 08:08:26,ERROR,FileService,System Change for user 90893.,83672,f935c547-c9b1-4dda-be81-f9076f39753f,191.6.13.83
2023-03-19 02:15:22,WARN,PrivilegeService,Password Change for user 40541.,61689,c5a61016-de08-4c6d-bbee-f160ffa12fa8,139.230.248.43
2023-04-02 17:46:35,INFO,PrivilegeService,User Logout for user 64286.,48387,4675ad63-61d1-4a5a-b7e5-91130a5fda7f,134.135.95.215
2023-02-08 20:01:12,WARN,UserLoginSuccessful,User Login,94794,f94092b2-3304-47e7-b901-3681887a7a17,156.57.107.190
2023-01-03 02:30:00,ERROR,UserLoginFailure,Failed Login Attempt,22972,5e901387-106c-4b4f-bad0-86c40ddfd192,153.130.151.225
2023-09-06 15:42:57,ERROR,NetworkService,Password Change for user 27769.,45181,dbfa593c-4623-47d2-bf8e-976e4648f133,5.61.222.149
2023-12-20 00:40:27,WARN,UserLoginSuccessful,User Login,33046,46b80828-cb32-4b7b-84f8-71216a4ea02e,170.120.24.184
2023-12-01 09:49:43,ERROR,NetworkService,Accessed Sensitive Data for user 75694.,77707,ff99b45e-2d4a-4b9c-b795-0056e772e126,175.144.164.66
2023-11-29 02:06:50,ERROR,SystemService,File Operation for user 93586.,17765,9171c9e8-c19d-423f-9a7e-d14e646bb49b,197.106.65.182
